"Threshold, e- for--->"	DES S/N 201		DES S/N 202		DES S/N 203		DES S/N 204		DES S/N 205		DES S/N 206		DES S/N 207		DES S/N 208		DES S/N 209		DES S/N 210		DES S/N 211		DES S/N 212		DES S/N 213		DES S/N 214		DES S/N 215		DES S/N 216	
Threshold voltage [V]	Head 0	Head 1	Head 0	Head 1	Head 0	Head 1	Head 0	Head 1	Head 0	Head 1	Head 0	Head 1	Head 0	Head 1	Head 0	Head 1	Head 0	Head 1	Head 0	Head 1	Head 0	Head 1	Head 0	Head 1	Head 0	Head 1	Head 0	Head 1	Head 0	Head 1	Head 0	Head 1
0.00000	6.808853688628400E+04	7.532294393045160E+04	6.709557905669230E+04	7.418813498234690E+04	6.823038800479710E+04	6.893964359736250E+04	7.418813498234690E+04	6.702465349743580E+04	7.269869823795950E+04	7.206036820465050E+04	7.865644521550930E+04	7.702515735260870E+04	7.663743096200630E+04	6.844316468256670E+04	7.340795383052490E+04	7.085463369728930E+04	7.149296373059810E+04	7.425906054160350E+04	6.808853688628400E+04	6.844316468256670E+04	7.641046917238540E+04	7.686439275162730E+04	7.057093146026310E+04	6.603169566784420E+04	6.815946244554050E+04	7.737978514889150E+04	7.362073050829450E+04	7.737978514889150E+04	6.737928129371850E+04	7.354980494903800E+04	7.567757172673440E+04	7.149296373059820E+04
0.25000	6.794668576777090E+04	7.518109281193850E+04	6.688280237892270E+04	7.418813498234690E+04	6.794668576777090E+04	6.929427139364520E+04	7.432998610086000E+04	6.674095126040960E+04	7.269869823795940E+04	7.213129376390710E+04	7.830181741922660E+04	7.730885958963490E+04	7.631590176004330E+04	6.879779247884940E+04	7.347887938978150E+04	7.085463369728930E+04	7.156388928985470E+04	7.390443274532070E+04	6.851409024182320E+04	6.879779247884940E+04	7.695423179335220E+04	7.702515735260870E+04	7.028722922323690E+04	6.581891899007450E+04	6.773390909000130E+04	7.737978514889140E+04	7.362073050829460E+04	7.737978514889140E+04	6.745020685297510E+04	7.298240047498560E+04	7.546479504896470E+04	7.170574040836780E+04
0.50000	6.794668576777090E+04	7.511016725268200E+04	6.716650461594890E+04	7.432998610086000E+04	6.815946244554050E+04	6.901056915661910E+04	7.425906054160350E+04	6.674095126040960E+04	7.234407044167670E+04	7.248592156018980E+04	7.872737077476580E+04	7.752163626740460E+04	7.624497620078670E+04	6.901056915661910E+04	7.326610271201180E+04	7.099648481580240E+04	7.142203817134160E+04	7.397535830457730E+04	6.858501580107980E+04	6.901056915661910E+04	7.681238067483910E+04	7.702515735260870E+04	7.064185701951960E+04	6.560614231230490E+04	6.823038800479700E+04	7.759256182666110E+04	7.383350718606420E+04	7.759256182666110E+04	6.745020685297510E+04	7.369165606755110E+04	7.560664616747780E+04	7.170574040836780E+04
0.75000	7.589034840450400E+04	8.383401104123710E+04	7.418813498234690E+04	8.213179761908000E+04	7.496831613416890E+04	7.652867843781290E+04	8.262827653387580E+04	7.454276277862960E+04	8.021680751915330E+04	8.028773307840990E+04	8.790986651317990E+04	8.639678791570700E+04	8.511067110785490E+04	7.645775287855640E+04	8.177716982279730E+04	7.901107301179200E+04	7.979125416361400E+04	8.227364873759310E+04	7.589034840450400E+04	7.645775287855640E+04	8.546529890413770E+04	8.603270337819000E+04	7.815996630071350E+04	7.369165606755110E+04	7.589034840450400E+04	8.581992670042040E+04	8.220272317833660E+04	8.581992670042040E+04	7.482646501565580E+04	8.163531870428420E+04	8.440141551528950E+04	7.950755192658790E+04
0.88000	8.418863883751990E+04	9.220322703350950E+04	8.220272317833660E+04	9.000453469655660E+04	8.319568100792820E+04	8.440141551528950E+04	9.064286472986550E+04	8.220272317833660E+04	8.787676791886020E+04	8.801861903737330E+04	9.660061170741540E+04	9.496932384451480E+04	9.340896154087080E+04	8.425956439677640E+04	9.000453469655660E+04	8.702566120778170E+04	8.773491680034710E+04	9.007546025581310E+04	8.347938324495440E+04	8.425956439677640E+04	9.383451489641010E+04	9.418914269269280E+04	8.631640561521620E+04	8.120976534874490E+04	8.362123436346750E+04	9.355081265938390E+04	8.993360913730010E+04	9.355081265938390E+04	8.269920209313240E+04	8.979175801878700E+04	9.213230147425300E+04	8.688381008926860E+04
1.00000	9.255785482979230E+04	1.018491030924000E+05	9.113934364466130E+04	9.979226187396000E+04	9.184859923722680E+04	9.362173821864050E+04	1.003596663480120E+05	9.106841808540480E+04	9.766449509626360E+04	9.738079285923740E+04	1.068138922403580E+05	1.059627855292790E+05	1.039059443108400E+05	9.312525930384460E+04	9.915393184065100E+04	9.589135611484990E+04	9.688431394444160E+04	1.002178152294990E+05	9.199045035573990E+04	9.312525930384460E+04	1.044024232256350E+05	1.041187209886090E+05	9.539487720005410E+04	9.014638581506970E+04	9.262878038904880E+04	1.040477954293530E+05	9.965041075544690E+04	1.040477954293530E+05	9.163582255945720E+04	9.908300628139450E+04	1.027002098034780E+05	9.617505835187610E+04
1.25000	1.208571529731540E+05	1.319924657764320E+05	1.184456839584310E+05	1.297228478802220E+05	1.190840139917400E+05	1.219210363620020E+05	1.305739545913010E+05	1.180201306028920E+05	1.267439743914470E+05	1.266730488321910E+05	1.380684220194090E+05	1.357231501933260E+05	1.344039347911540E+05	1.214954830064630E+05	1.292972945246830E+05	1.248999098507770E+05	1.254673143248300E+05	1.298646989987350E+05	1.194386417880230E+05	1.214954830064630E+05	1.351131903837200E+05	1.353968926207460E+05	1.239069520211860E+05	1.163888427399920E+05	1.200060462620760E+05	1.350422648244630E+05	1.290135922876570E+05	1.350422648244630E+05	1.191549395509970E+05	1.283752622543480E+05	1.330563491652800E+05	1.242615798174680E+05
1.50000	1.662495108973430E+05	1.798672182746000E+05	1.639089674418770E+05	1.766046425487990E+05	1.640508185603900E+05	1.675261709639610E+05	1.786614837672390E+05	1.632706374085680E+05	1.730583645859720E+05	1.734129923822540E+05	1.876690297928200E+05	1.853284863373540E+05	1.826333150856050E+05	1.671006176084220E+05	1.767464936673120E+05	1.711433744860450E+05	1.725618856711760E+05	1.772429725821080E+05	1.629869351715420E+05	1.671006176084220E+05	1.829879428818880E+05	1.839099751522230E+05	1.696539377416580E+05	1.611428706308720E+05	1.649019252714690E+05	1.836262729151970E+05	1.753989080414380E+05	1.836262729151970E+05	1.640508185603900E+05	1.749733546858980E+05	1.810020272227050E+05	1.697957888601710E+05
1.75000	2.408631992352300E+05	2.577434823382870E+05	2.384517302205070E+05	2.541262788162040E+05	2.378843257464550E+05	2.431328171314390E+05	2.573888545420050E+05	2.369622934761200E+05	2.495870430237850E+05	2.505090752941200E+05	2.694461996156180E+05	2.654743682972510E+05	2.626373459269890E+05	2.423526359796170E+05	2.546227577309990E+05	2.471046484498060E+05	2.490196385497320E+05	2.549773855272820E+05	2.354019311724760E+05	2.423526359796170E+05	2.632047504010420E+05	2.633466015195550E+05	2.437711471647480E+05	2.327776854799830E+05	2.383098791019940E+05	2.638430804343500E+05	2.513601820051980E+05	2.638430804343500E+05	2.367495167983500E+05	2.501544474978370E+05	2.602258769122670E+05	2.432746682499520E+05
